	Phosphatidylserine  Profile;  PS 																																																																						
	Data are expressed as normalized intensities and constitute relative abundances per mg sample (relative to exactly measured internal standards).  																																																																						
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																																						
	ND = not detected																																																																						
																																																																							
																																																																							
		Normalized Intensities  (UNIT = Intensity / mg sample)																																																																					
Sample ID		PS 29:4_1.62	PS 30:1_14.25	PS 30:3_12.08	PS 31:0_9.49	PS 31:1_4.45	PS 32:0_10.25	PS 32:0_11.58	PS 32:1_23.73	PS 32:4_12.49	PS 33:2_19.39 | 17:1/16:1	PS 33:4_14.05	PS 34:0_20.80	PS 34:1_14.51	PS 34:1_26.44	PS 34:4_15.09	PS 34:4_22.92	PS 35:0_15.53	PS 35:0_17.78	PS 35:2_23.55	PS 35:4_17.85	PS 35:4_19.28	PS 36:1_14.82	PS 36:1_20.44	PS 36:7_15.75	PS 36:7_17.32	PS 37:0_21.96	PS 37:1_15.93	PS 37:2_17.30	PS 37:6_17.48	PS 37:7_17.48	PS 37:8_16.42	PS 38:1_18.46	PS 38:7_21.57	PS 38:8_17.78	PS 38:8_18.12	PS 38:10_17.23	PS 39:1_22.48	PS 39:5_27.07	PS 39:7_18.91	PS 39:8_20.42	PS 39:8_20.87	PS 40:2_21.62	PS 40:6_21.30	PS 40:7_25.30	PS 40:7_26.69	PS 40:9_18.62	PS 40:9_19.75	PS 40:10_21.57	PS 40:11_18.10	PS 41:2_23.55	PS 41:2_24.21	PS 41:4_26.80	PS 41:7_22.82	PS 41:8_26.30	PS 41:9_20.03	PS 41:9_21.17	PS 41:11_23.32	PS 41:12_21.51	PS 41:12_25.28	PS 42:2_25.21	PS 42:9_15.16	PS 42:9_22.50	PS 42:9_23.23	PS 43:2_26.44	PS 43:10_22.50	PS 43:11_16.33	PS 43:12_29.87	PS 44:9_18.89	PS 44:9_22.80	PS 44:10_24.96
JWL0201		ND	ND	0.03	ND	ND	0.04	ND	ND	ND	ND	0.05	20.20	ND	ND	0.07	ND	0.06	0.05	0.04	0.08	0.05	0.09	0.06	ND	0.11	ND	ND	0.04	ND	0.03	0.06	0.08	ND	ND	0.04	0.74	0.05	ND	0.03	0.05	0.03	ND	0.03	0.03	ND	ND	0.05	0.64	ND	0.04	0.07	ND	0.04	ND	0.18	0.10	ND	0.11	0.06	0.05	0.02	0.06	ND	ND	ND	ND	ND	ND	0.03	ND
JWL0202		0.02	0.02	0.02	ND	ND	0.02	ND	ND	ND	ND	0.03	14.40	ND	ND	0.04	ND	ND	0.03	0.03	ND	0.04	0.07	0.02	ND	0.10	0.02	ND	ND	ND	ND	0.04	0.06	0.08	ND	0.05	0.41	ND	ND	ND	0.02	ND	ND	0.03	0.02	0.03	ND	ND	0.39	ND	0.03	0.05	ND	0.02	0.02	0.16	0.08	ND	0.09	0.05	0.02	0.02	0.04	ND	ND	ND	ND	0.02	ND	0.02	ND
