id	annot	class	structuralcategory	functionalcategory	carbon	dbonds	hydrox	eid	frac_molar
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	-crd1PtefM2-OLE1-wholeCell-trial1	8.89536187952092e-5
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	-crd1PtefM2-OLE1-wholeCell-trial2	7.641891240785272e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	-crd1PtefM2-OLE1-wholeCell-trial3	6.350200829877032e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	-crd1PtefM3-OLE1-wholeCell-trial1	9.701892038676517e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	-crd1PtefM3-OLE1-wholeCell-trial2	1.3964564881223499e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	-crd1PtefM3-OLE1-wholeCell-trial3	8.910352965708588e-5
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	fad2-Lkluyveri-0bar-A	7.189310453835429e-5
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	fad2-Lkluyveri-0bar-B	1.3800173689294587e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	fad2-Lkluyveri-0bar-C	1.4899835776541195e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	fad2-Lkluyveri-250bar-B	1.1140785309532493e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	FM628-Lkluyveri-0bar-C	1.05997099366213e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	FM628-Lkluyveri-250bar-A	1.0362592457149999e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	FM628-Lkluyveri-250bar-B	1.0063512720019901e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM1-OLE1-wholeCell-trial1	0.0010467406963427695
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM1-OLE1-wholeCell-trial2	5.23304300858839e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM1-OLE1-wholeCell-trial3	7.510971285818821e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM2-OLE1-wholeCell-trial1	0.00140234256548905
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM2-OLE1-wholeCell-trial2	0.0011142268670004992
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM2-OLE1-wholeCell-trial3	9.7539056162732e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM3-OLE1-wholeCell-trial1	0.0011449900954250598
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM3-OLE1-wholeCell-trial2	0.00110476967957941
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM3-OLE1-wholeCell-trial3	0.00115926406048114
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM4-OLE1-wholeCell-trial1	9.24003015909636e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM4-OLE1-wholeCell-trial2	9.853165355589808e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	PtefM4-OLE1-wholeCell-trial3	6.46192195708028e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	wildtype-wholeCell-trial1	5.706727855556331e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	wildtype-wholeCell-trial2	8.230346316177471e-4
Cer 32:0;2	32:0;2	Cer	SL	MEM	32	0	2	wildtype-wholeCell-trial3	6.934354502383492e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	-crd1PtefM2-OLE1-wholeCell-trial1	3.7577613429765495e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	-crd1PtefM2-OLE1-wholeCell-trial2	7.302563189089702e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	-crd1PtefM2-OLE1-wholeCell-trial3	5.177586464899432e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	-crd1PtefM3-OLE1-wholeCell-trial1	0.0012523560980159498
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	-crd1PtefM3-OLE1-wholeCell-trial2	4.2572352774577897e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	-crd1PtefM3-OLE1-wholeCell-trial3	3.909966264192479e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	fad2-Lkluyveri-0bar-A	1.5051279860746398e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	fad2-Lkluyveri-0bar-B	2.1889557504719282e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	fad2-Lkluyveri-0bar-C	2.2188330041887893e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	fad2-Lkluyveri-250bar-A	1.113878967818489e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	fad2-Lkluyveri-250bar-B	1.419512213121609e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	fad2-Lkluyveri-250bar-C	9.462565685740592e-5
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	FM628-Lkluyveri-0bar-A	1.4943353930208604e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	FM628-Lkluyveri-0bar-B	1.3556473824425806e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	FM628-Lkluyveri-0bar-C	1.7728317413284899e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	FM628-Lkluyveri-250bar-A	1.4901605282711998e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	FM628-Lkluyveri-250bar-B	1.3124006226727602e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	FM628-Lkluyveri-250bar-C	6.261903338484281e-5
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM1-OLE1-wholeCell-trial1	9.849279837011824e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM1-OLE1-wholeCell-trial2	4.1946320389377395e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM1-OLE1-wholeCell-trial3	6.90462178132376e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM2-OLE1-wholeCell-trial1	0.0018979271106893698
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM2-OLE1-wholeCell-trial2	0.0013595039439185691
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM2-OLE1-wholeCell-trial3	9.552837619912901e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM3-OLE1-wholeCell-trial1	0.0010886175619621498
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM3-OLE1-wholeCell-trial2	8.535364889392198e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM3-OLE1-wholeCell-trial3	8.23179550625755e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM4-OLE1-wholeCell-trial1	5.111639835335429e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM4-OLE1-wholeCell-trial2	6.218482564266848e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	PtefM4-OLE1-wholeCell-trial3	4.5320905907486104e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	wildtype-isolatedMitoplasts-trial2	2.4552866932591615e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	wildtype-isolatedMitoplasts-trial3	1.55713579798079e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	wildtype-wholeCell-trial1	3.6189690916791e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	wildtype-wholeCell-trial2	7.11018678225852e-4
Cer 34:0;2	34:0;2	Cer	SL	MEM	34	0	2	wildtype-wholeCell-trial3	5.166754238546872e-4
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	-crd1PtefM2-OLE1-wholeCell-trial1	1.78658093566026e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	-crd1PtefM2-OLE1-wholeCell-trial2	2.9483803611732804e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	-crd1PtefM2-OLE1-wholeCell-trial3	3.386653527586451e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	-crd1PtefM3-OLE1-wholeCell-trial3	2.2261333753853096e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	fad2-Lkluyveri-0bar-A	3.62562464685196e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	fad2-Lkluyveri-0bar-B	2.7983079635922676e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	fad2-Lkluyveri-0bar-C	3.523059146242519e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	FM628-Lkluyveri-0bar-A	2.6137308199948907e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	FM628-Lkluyveri-0bar-B	3.6188321602264215e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	FM628-Lkluyveri-0bar-C	3.49385285257281e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	PtefM2-OLE1-wholeCell-trial1	5.56478985934222e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	PtefM2-OLE1-wholeCell-trial2	4.062351043545547e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	PtefM2-OLE1-wholeCell-trial3	3.10191238429963e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	PtefM3-OLE1-wholeCell-trial1	3.6736562630312994e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	PtefM3-OLE1-wholeCell-trial2	3.8805725731051994e-5
Cer 34:0;3	34:0;3	Cer	SL	MEM	34	0	3	PtefM3-OLE1-wholeCell-trial3	5.59223457573509e-5
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	-crd1PtefM2-OLE1-wholeCell-trial1	1.71268785783157e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	-crd1PtefM2-OLE1-wholeCell-trial2	3.5795977953604106e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	-crd1PtefM2-OLE1-wholeCell-trial3	2.900274392317201e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	-crd1PtefM3-OLE1-wholeCell-trial1	5.695158503321099e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	-crd1PtefM3-OLE1-wholeCell-trial2	2.1843402957728297e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	-crd1PtefM3-OLE1-wholeCell-trial3	2.4810056315888895e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	fad2-Lkluyveri-0bar-A	3.1282295743387294e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	fad2-Lkluyveri-0bar-B	5.394510179080005e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	fad2-Lkluyveri-0bar-C	4.5459789769568086e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	fad2-Lkluyveri-250bar-A	2.826845315906078e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	fad2-Lkluyveri-250bar-B	5.226641644770486e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	fad2-Lkluyveri-250bar-C	3.7132876762470705e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	FM628-Lkluyveri-0bar-A	4.331438441404931e-4
Cer 36:0;2	36:0;2	Cer	SL	MEM	36	0	2	FM628-Lkluyveri-0bar-B	3.458196085794962e-4
